GO_pct,GO_frac,environment,day,weight_change_pct,compressive_strength_MPa
0.0,0.0,control,7,0.0,26.53
0.0,0.0,MgSO4_5pct,7,2.8,23.9
0.0,0.0,H2SO4_2pct,7,2.9,30.5
0.0,0.0,NaCl_3.5pct,7,0.52,23.1
0.0,0.0,control,28,0.0,33.33
0.0,0.0,MgSO4_5pct,28,10.7,30.0
0.0,0.0,H2SO4_2pct,28,8.7,35.8
0.0,0.0,NaCl_3.5pct,28,1.9,29.75
0.0,0.0,control,56,0.0,47.14
0.0,0.0,MgSO4_5pct,56,13.6,32.2
0.0,0.0,H2SO4_2pct,56,12.7,32.2
0.0,0.0,NaCl_3.5pct,56,2.83,40.1
0.02,0.0002,control,7,0.0,31.29
0.02,0.0002,MgSO4_5pct,7,2.4,28.2
0.02,0.0002,H2SO4_2pct,7,2.9,31.2
0.02,0.0002,NaCl_3.5pct,7,0.49,26.85
0.02,0.0002,control,28,0.0,35.37
0.02,0.0002,MgSO4_5pct,28,10.2,31.8
0.02,0.0002,H2SO4_2pct,28,9.5,36.5
0.02,0.0002,NaCl_3.5pct,28,1.68,32.3
0.02,0.0002,control,56,0.0,41.54
0.02,0.0002,MgSO4_5pct,56,12.9,35.0
0.02,0.0002,H2SO4_2pct,56,12.6,35.0
0.02,0.0002,NaCl_3.5pct,56,2.53,44.5
0.04,0.0004,control,7,0.0,32.65
0.04,0.0004,MgSO4_5pct,7,2.4,29.4
0.04,0.0004,H2SO4_2pct,7,2.4,32.0
0.04,0.0004,NaCl_3.5pct,7,0.44,28.7
0.04,0.0004,control,28,0.0,38.09
0.04,0.0004,MgSO4_5pct,28,11.2,34.3
0.04,0.0004,H2SO4_2pct,28,9.6,37.1
0.04,0.0004,NaCl_3.5pct,28,1.46,35.2
0.04,0.0004,control,56,0.0,42.12
0.04,0.0004,MgSO4_5pct,56,13.4,37.1
0.04,0.0004,H2SO4_2pct,56,12.4,36.0
0.04,0.0004,NaCl_3.5pct,56,2.22,46.75
0.06,0.0006,control,7,0.0,36.05
0.06,0.0006,MgSO4_5pct,7,2.5,32.4
0.06,0.0006,H2SO4_2pct,7,2.1,32.8
0.06,0.0006,NaCl_3.5pct,7,0.4,30.1
0.06,0.0006,control,28,0.0,42.21
0.06,0.0006,MgSO4_5pct,28,11.1,38.0
0.06,0.0006,H2SO4_2pct,28,5.6,38.0
0.06,0.0006,NaCl_3.5pct,28,1.37,37.9
0.06,0.0006,control,56,0.0,52.13
0.06,0.0006,MgSO4_5pct,56,13.3,40.9
0.06,0.0006,H2SO4_2pct,56,10.8,37.5
0.06,0.0006,NaCl_3.5pct,56,2.08,50.5
0.08,0.0008,control,7,0.0,33.33
0.08,0.0008,MgSO4_5pct,7,2.4,30.0
0.08,0.0008,H2SO4_2pct,7,1.7,31.5
0.08,0.0008,NaCl_3.5pct,7,0.46,27.2
0.08,0.0008,control,28,0.0,36.05
0.08,0.0008,MgSO4_5pct,28,10.8,32.4
0.08,0.0008,H2SO4_2pct,28,8.7,36.0
0.08,0.0008,NaCl_3.5pct,28,1.42,34.8
0.08,0.0008,control,56,0.0,46.14
0.08,0.0008,MgSO4_5pct,56,13.1,35.0
0.08,0.0008,H2SO4_2pct,56,10.1,34.0
0.08,0.0008,NaCl_3.5pct,56,2.2,46.1
0.1,0.001,control,7,0.0,31.29
0.1,0.001,MgSO4_5pct,7,2.9,28.2
0.1,0.001,H2SO4_2pct,7,0.2,30.0
0.1,0.001,NaCl_3.5pct,7,0.51,26.1
0.1,0.001,control,28,0.0,33.33
0.1,0.001,MgSO4_5pct,28,10.3,30.0
0.1,0.001,H2SO4_2pct,28,6.5,34.5
0.1,0.001,NaCl_3.5pct,28,1.47,32.85
0.1,0.001,control,56,0.0,44.13
0.1,0.001,MgSO4_5pct,56,13.2,31.9
0.1,0.001,H2SO4_2pct,56,7.3,32.0
0.1,0.001,NaCl_3.5pct,56,2.25,43.2
